Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime(seconds),Sector1Time(seconds),Sector2Time(seconds),Sector3Time(seconds)
0 days 01:13:17.797000,VER,1,0 days 00:01:30.273000,5.0,1.0,,,0 days 00:00:33.310000,0 days 00:00:30.260000,0 days 00:00:26.703000,0 days 01:12:20.888000,0 days 01:12:51.148000,0 days 01:13:17.851000,231.0,274.0,274.0,291.0,True,MEDIUM,8.0,False,Red Bull Racing,0 days 01:11:47.524000,2023-10-08 17:12:47.529,1,1.0,False,,False,True,90.273,33.31,30.26,26.703
0 days 01:14:47.206000,VER,1,0 days 00:01:29.409000,6.0,1.0,,,0 days 00:00:33.139000,0 days 00:00:29.969000,0 days 00:00:26.301000,0 days 01:13:50.990000,0 days 01:14:20.959000,0 days 01:14:47.260000,226.0,275.0,275.0,298.0,True,MEDIUM,9.0,False,Red Bull Racing,0 days 01:13:17.797000,2023-10-08 17:14:17.802,1,1.0,False,,False,True,89.409,33.139,29.969,26.301
0 days 01:16:16.289000,VER,1,0 days 00:01:29.083000,7.0,1.0,,,0 days 00:00:32.850000,0 days 00:00:29.847000,0 days 00:00:26.386000,0 days 01:15:20.110000,0 days 01:15:49.957000,0 days 01:16:16.343000,231.0,275.0,275.0,299.0,True,MEDIUM,10.0,False,Red Bull Racing,0 days 01:14:47.206000,2023-10-08 17:15:47.211,1,1.0,False,,False,True,89.083,32.85,29.847,26.386
0 days 01:17:45.651000,VER,1,0 days 00:01:29.362000,8.0,1.0,,,0 days 00:00:33.037000,0 days 00:00:29.899000,0 days 00:00:26.426000,0 days 01:16:49.380000,0 days 01:17:19.279000,0 days 01:17:45.705000,229.0,275.0,275.0,301.0,False,MEDIUM,11.0,False,Red Bull Racing,0 days 01:16:16.289000,2023-10-08 17:17:16.294,1,1.0,False,,False,True,89.362,33.037,29.899,26.426
0 days 01:19:14.977000,VER,1,0 days 00:01:29.326000,9.0,1.0,,,0 days 00:00:33.034000,0 days 00:00:29.860000,0 days 00:00:26.432000,0 days 01:18:18.739000,0 days 01:18:48.599000,0 days 01:19:15.031000,230.0,276.0,275.0,301.0,False,MEDIUM,12.0,False,Red Bull Racing,0 days 01:17:45.651000,2023-10-08 17:18:45.656,1,1.0,False,,False,True,89.326,33.034,29.86,26.432
0 days 01:20:44.434000,VER,1,0 days 00:01:29.457000,10.0,1.0,,,0 days 00:00:33.020000,0 days 00:00:29.859000,0 days 00:00:26.578000,0 days 01:19:48.051000,0 days 01:20:17.910000,0 days 01:20:44.488000,229.0,276.0,274.0,300.0,False,MEDIUM,13.0,False,Red Bull Racing,0 days 01:19:14.977000,2023-10-08 17:20:14.982,1,1.0,False,,False,True,89.457,33.02,29.859,26.578
0 days 01:22:13.791000,VER,1,0 days 00:01:29.357000,11.0,1.0,,,0 days 00:00:33.039000,0 days 00:00:29.873000,0 days 00:00:26.445000,0 days 01:21:17.527000,0 days 01:21:47.400000,0 days 01:22:13.845000,228.0,276.0,275.0,302.0,False,MEDIUM,14.0,False,Red Bull Racing,0 days 01:20:44.434000,2023-10-08 17:21:44.439,1,1.0,False,,False,True,89.357,33.039,29.873,26.445
0 days 01:23:42.993000,VER,1,0 days 00:01:29.202000,12.0,1.0,,,0 days 00:00:32.949000,0 days 00:00:29.837000,0 days 00:00:26.416000,0 days 01:22:46.794000,0 days 01:23:16.631000,0 days 01:23:43.047000,228.0,276.0,275.0,299.0,False,MEDIUM,15.0,False,Red Bull Racing,0 days 01:22:13.791000,2023-10-08 17:23:13.796,1,1.0,False,,False,True,89.202,32.949,29.837,26.416
0 days 01:25:12.008000,VER,1,0 days 00:01:29.015000,13.0,1.0,,,0 days 00:00:32.728000,0 days 00:00:29.829000,0 days 00:00:26.458000,0 days 01:24:15.775000,0 days 01:24:45.604000,0 days 01:25:12.062000,230.0,277.0,274.0,300.0,True,MEDIUM,16.0,False,Red Bull Racing,0 days 01:23:42.993000,2023-10-08 17:24:42.998,1,1.0,False,,False,True,89.015,32.728,29.829,26.458
0 days 01:26:41.131000,VER,1,0 days 00:01:29.123000,14.0,1.0,,,0 days 00:00:32.952000,0 days 00:00:29.835000,0 days 00:00:26.336000,0 days 01:25:45.014000,0 days 01:26:14.849000,0 days 01:26:41.185000,226.0,275.0,275.0,301.0,False,MEDIUM,17.0,False,Red Bull Racing,0 days 01:25:12.008000,2023-10-08 17:26:12.013,1,1.0,False,,False,True,89.123,32.952,29.835,26.336
0 days 01:28:09.843000,VER,1,0 days 00:01:28.712000,15.0,1.0,,,0 days 00:00:32.868000,0 days 00:00:29.690000,0 days 00:00:26.154000,0 days 01:27:14.053000,0 days 01:27:43.743000,0 days 01:28:09.897000,231.0,277.0,275.0,300.0,True,MEDIUM,18.0,False,Red Bull Racing,0 days 01:26:41.131000,2023-10-08 17:27:41.136,1,1.0,False,,False,True,88.712,32.868,29.69,26.154
