Driver,Team,LapNumber,PitInTime(seconds),PitOutTime(seconds),PitStopDuration
VER,Red Bull Racing,17.0,5465.783,5494.017,28.23399999999947
VER,Red Bull Racing,34.0,6984.422,7012.547,28.125
VER,Red Bull Racing,51.0,8473.484,8503.186,29.701999999999316
PIA,McLaren,12.0,5025.679,5054.522,28.842999999999847
PIA,McLaren,25.0,6207.259,6235.087,27.82800000000043
PIA,McLaren,43.0,7796.319,7823.866,27.54699999999957
NOR,McLaren,13.0,5121.74,5149.927,28.186999999999898
NOR,McLaren,27.0,6390.335,6417.991,27.65599999999995
NOR,McLaren,44.0,7884.615,7912.287,27.67200000000048
RUS,Mercedes,14.0,5217.708,5246.254,28.546000000000276
RUS,Mercedes,32.0,6833.33,6861.658,28.32800000000043
RUS,Mercedes,50.0,8412.172,8440.359,28.186999999999898
LEC,Ferrari,12.0,5030.163,5058.381,28.218000000000757
LEC,Ferrari,25.0,6221.353,6249.259,27.90599999999995
LEC,Ferrari,43.0,7818.163,7845.631,27.468000000000757
ALO,Aston Martin,11.0,4939.664,4968.086,28.42200000000048
ALO,Aston Martin,26.0,6302.258,6330.695,28.436999999999898
ALO,Aston Martin,44.0,7911.24,7939.615,28.375
OCO,Alpine,10.0,4853.712,4882.665,28.95299999999952
OCO,Alpine,25.0,6222.915,6251.837,28.92200000000048
OCO,Alpine,43.0,7828.022,7857.194,29.17200000000048
BOT,Alfa Romeo,3.0,4163.204,4193.188,29.98400000000038
BOT,Alfa Romeo,21.0,5863.169,5892.591,29.42200000000048
BOT,Alfa Romeo,39.0,7483.323,7512.26,28.936999999999898
ZHO,Alfa Romeo,18.0,5587.391,5616.344,28.95300000000043
ZHO,Alfa Romeo,35.0,7122.124,7150.967,28.842999999999847
ZHO,Alfa Romeo,52.0,8629.279,8658.091,28.811999999999898
PER,Red Bull Racing,17.0,5492.845,5520.626,27.78099999999995
PER,Red Bull Racing,31.0,6755.347,6788.581,33.23400000000038
PER,Red Bull Racing,43.0,7835.538,7868.694,33.15600000000086
STR,Aston Martin,3.0,4167.563,4196.422,28.85899999999947
STR,Aston Martin,21.0,5865.544,5893.716,28.17200000000048
STR,Aston Martin,39.0,7485.432,7514.823,29.39100000000053
GAS,Alpine,11.0,4946.18,4974.523,28.342999999999847
GAS,Alpine,26.0,6313.383,6343.57,30.186999999999898
ALB,Williams,18.0,5578.907,5608.219,29.311999999999898
ALB,Williams,31.0,6763.706,6792.44,28.73399999999947
ALB,Williams,44.0,7932.959,7961.896,28.936999999999898
MAG,Haas F1 Team,3.0,4167.344,4196.047,28.70299999999952
MAG,Haas F1 Team,21.0,5872.779,5901.716,28.936999999999898
MAG,Haas F1 Team,39.0,7493.651,7524.01,30.35900000000038
TSU,AlphaTauri,9.0,4769.291,4797.056,27.764999999999418
TSU,AlphaTauri,22.0,5965.668,5993.277,27.60900000000038
TSU,AlphaTauri,40.0,7590.588,7618.353,27.765000000000327
HUL,Haas F1 Team,27.0,6419.304,6447.522,28.217999999999847
HUL,Haas F1 Team,39.0,7508.526,7537.151,28.625
LAW,AlphaTauri,3.0,4168.438,4197.75,29.311999999999898
LAW,AlphaTauri,21.0,5874.497,5903.185,28.688000000000102
LAW,AlphaTauri,39.0,7505.745,7533.932,28.186999999999898
SAR,Williams,13.0,5135.646,5164.99,29.34400000000005
SAR,Williams,26.0,6328.196,6357.554,29.358000000000175
